datetime,T1
2021-04-25 00:00:33,295.792
2021-04-25 00:01:13,295.786
2021-04-25 00:01:54,295.786
2021-04-25 00:02:34,295.779
2021-04-25 00:03:14,295.777
2021-04-25 00:03:54,295.773
2021-04-25 00:04:34,295.772
2021-04-25 00:05:14,295.766
2021-04-25 00:05:54,295.762
2021-04-25 00:06:34,295.76
2021-04-25 00:07:14,295.757
2021-04-25 00:07:55,295.751
2021-04-25 00:08:35,295.747
2021-04-25 00:09:15,295.74
2021-04-25 00:09:55,295.739
2021-04-25 00:10:35,295.733
2021-04-25 00:11:15,295.731
2021-04-25 00:11:56,295.725
2021-04-25 00:12:36,295.721
2021-04-25 00:13:16,295.715
2021-04-25 00:13:56,295.712
2021-04-25 00:14:36,295.705
2021-04-25 00:15:16,295.701
2021-04-25 00:15:56,295.691
2021-04-25 00:16:36,295.691
2021-04-25 00:17:17,295.683
2021-04-25 00:17:57,295.678
2021-04-25 00:18:37,295.677
2021-04-25 00:19:17,295.67
2021-04-25 00:19:57,295.668
2021-04-25 00:20:37,295.664
2021-04-25 06:32:59,295.662
2021-04-25 06:33:39,294.742
2021-04-25 06:34:19,294.744
2021-04-25 06:34:59,294.736
2021-04-25 06:35:39,294.733
2021-04-25 06:36:20,294.731
2021-04-25 06:37:00,294.728
2021-04-25 06:37:40,294.725
2021-04-25 06:38:20,294.725
2021-04-25 06:39:00,294.726
2021-04-25 06:39:40,294.716
2021-04-25 06:40:20,294.714
2021-04-25 06:41:00,294.71
2021-04-25 06:41:40,294.709
2021-04-25 06:42:21,294.705
2021-04-25 06:43:01,294.704
2021-04-25 06:43:41,294.7
2021-04-25 06:44:21,294.695
2021-04-25 06:45:01,294.695
2021-04-25 06:45:41,294.694
2021-04-25 06:46:21,294.691
2021-04-25 06:47:01,294.689
2021-04-25 06:47:42,294.69
2021-04-25 06:48:22,294.686
2021-04-25 06:49:02,294.685
2021-04-25 06:49:42,294.685
2021-04-25 06:50:22,294.684
2021-04-25 06:51:02,294.684
2021-04-25 06:51:42,294.683
2021-04-25 06:52:22,294.682
2021-04-25 06:53:02,294.681
2021-04-25 06:53:43,294.682
2021-04-25 06:54:23,294.682
2021-04-25 06:55:03,294.682
2021-04-25 06:55:43,294.684
2021-04-25 06:56:23,294.682
2021-04-25 06:57:03,294.686
2021-04-25 06:57:43,294.687
2021-04-25 06:58:24,294.685
2021-04-25 06:59:04,294.688
2021-04-25 06:59:44,294.69
2021-04-25 07:00:24,294.688
2021-04-25 07:01:04,294.692
2021-04-25 07:01:44,294.692
2021-04-25 07:02:24,294.691
2021-04-25 07:03:04,294.696
2021-04-25 07:03:45,294.697
2021-04-25 07:04:25,294.692
2021-04-25 07:05:05,294.697
2021-04-25 07:05:45,294.699
2021-04-25 07:06:25,294.698
2021-04-25 07:07:05,294.701
2021-04-25 07:07:45,294.705
2021-04-25 07:08:25,294.704
2021-04-25 07:09:05,294.705
2021-04-25 07:09:46,294.708
2021-04-25 07:10:26,294.7
2021-04-25 07:11:06,294.708
2021-04-25 07:11:46,294.706
2021-04-25 07:12:26,294.705
2021-04-25 07:13:06,294.705
2021-04-25 07:13:46,294.707
2021-04-25 07:14:26,294.706
2021-04-25 07:15:06,294.709
2021-04-25 07:15:47,294.705
2021-04-25 07:16:27,294.709
2021-04-25 07:17:07,294.707
2021-04-25 07:17:47,294.647
2021-04-25 07:18:27,294.597
2021-04-25 07:19:07,294.56
